companyId,companyName,default,category
1,"Beijing First Kai Longhu Yingtai Real Estate Co., Ltd.",0,real estate
2,Li Xiaohui,0,it
3,"Laiyang Longrui Food Co., Ltd.",0,daily consumption
4,Liu Yuhong,0,daily consumption
5,"Tianchang Science and Technology Financing Guarantee Co., Ltd.",0,industry
6,"Yangxin County Huachuan Natural Gas Co., Ltd.",0,public
7,"Huangshan Jingyang Real Estate Co., Ltd.",0,real estate
8,"Jiangsu Tianhe Smart Distributed Energy Co., Ltd.",0,it
9,"Foshan Jinhong Real Estate Co., Ltd.",0,real estate
10,"Foshan Guoxing Optoelectronics Co., Ltd.",0,it
11,"Huilong Ruimeifeng (Guangzhou) Agricultural Group Co., Ltd.",0,materials
12,"Shenyang Huabao Automobile Sales and Service Co., Ltd.",0,optional
13,"Shenzhen Baoming Technology Co., Ltd.",0,it
14,"China Energy Conservation (Leping) Photovoltaic Agricultural Technology Co., Ltd.",0,public
15,Wang Xilin,0,daily consumption
16,"Zhejiang Gongziyi Network Co., Ltd.",0,it
17,"Temfu(Zhejiang)Photoelectric Co., Ltd",0,it
18,"Anhui Zhongzhuang Logistics Co., Ltd.",0,industry
19,"Hefei China Digital Co., Ltd.",0,it
20,"Guoda Yihe Pharmacy Jilin Co., Ltd.",0,medical_insurance
21,"Inner Mongolia Ordos Power Metallurgy Group Co., Ltd.",0,industry
22,"Shaoguan Hongqian Intelligent Equipment Technology Co., Ltd.",0,public
23,"Hunan Boyun New Material Co., Ltd.",0,industry
24,"Foshan Ruiyou Warehousing Co., Ltd.",0,optional
25,"Jushi Chemical (Changsha) Co., Ltd.",0,materials
26,"Du Guodong, Li Yingjuan",0,materials
27,"Shenzhen Tuori New Energy Technology Co., Ltd.",0,industry
28,"Jilin Guoxing New Material Industry Investment Co., Ltd.",0,materials
29,"Hong Baoli Group Co., Ltd.",0,materials
30,"Hohhot Jihong Printing and Packaging Co., Ltd.",0,it
31,"Tunghsu Blue Sky New Energy Co., Ltd.",0,public
32,"Donghua Internet IKEA Data Services Co., Ltd.",0,it
33,"Anji Zuming Bean Food Co., Ltd.",0,daily consumption
34,"Hirose Optoelectronics Co., Ltd.(Taiwan)",0,it
35,"Nantong Jinhong Natural Gas Co., Ltd.",0,public
36,"Chengdu Shengnuo Biopharmaceutical Co., Ltd.",0,medical_insurance
37,"China CRRC Co., Ltd. and its wholly -owned subsidiaries Suzhou CIC Construction Engineering Co., Ltd.",0,industry
38,"Anhui Dongxu Kangtu Solar Technology Co., Ltd.",0,public
39,"Shenzhen Noripin Crop Science Co., Ltd.",0,materials
40,"Hunan Jingfeng Pharmaceutical Co., Ltd.",0,medical_insurance
41,"Jiangsu Aike Semiconductor Co., Ltd.",0,it
42,"Guizhou Sun Hongjia Real Estate Development Co., Ltd.",0,real estate
43,"Binzhou Tianhao Power Generation Co., Ltd.",0,industry
44,"Qinyang Xinda Animal Husbandry Co., Ltd.",0,daily consumption
45,"Changyi Runjing New Energy Co., Ltd.",0,industry
46,"Beijing Ciwen Film and Television Production Co., Ltd.",0,optional
47,"Henan Radio and Television Measurement and Testing Co., Ltd.",0,industry
48,"Nantong Yanghong Petrochemical Storage and Transportation Co., Ltd.",0,industry
49,"Zhejiang Xinge Refrigeration Equipment Technology Co., Ltd.",0,optional
50,"Jiaman Clothing (Tianjin) Co., Ltd.",0,optional
51,"Yunnan Ningyong Expressway Co., Ltd.",0,industry
52,"Taizhou Deze Logistics Co., Ltd.",0,industry
53,"Shenzhen Honor Real Estate Development Co., Ltd.",0,real estate
54,"CNOOC Energy Development Co., Ltd.",0,energy
55,"Jiangsu Tianwo Heavy Industry Technology Co., Ltd.",0,industry
56,"Shenzhen Tiandeyu Technology Co., Ltd.",0,it
57,"Lijia Power Technology (Shenzhen) Co., Ltd.",0,industry
58,"Shenzhen Lihe Financial Holdings Co., Ltd.",0,it
59,"Nanjing Youzhi Technology Co., Ltd.",0,industry
60,"Guizhou Wengma Railway Co., Ltd.",0,industry
61,"Suzhou Hanma Intelligent Technology Co., Ltd.",0,industry
62,"Shanghai Excellent Ciming Clinic Co., Ltd.",0,medical_insurance
63,"Ma Shuyun, Ma Shurong",0,materials
64,"Guangxi Construction Industry Group Metallurgical Construction Co., Ltd.",0,real estate
65,"Meizhipei Education Technology (Beijing) Co., Ltd.",0,optional
66,"Shanghai Guodian Shipping Co., Ltd.",0,industry
67,"Hunan Yuanke Innovation Technology Co., Ltd.",0,it
68,"Yunnan Baishui Refrigeration Equipment Co., Ltd.",0,real estate
69,"Gu'an Julong Automation Equipment Co., Ltd.",0,it
70,"Fujian Aonong Biotechnology Group Co., Ltd., Kexiong, Changde",1,daily consumption
71,"Foshan Dow Technology Co., Ltd.",0,materials
72,"Kunming Yuezhen Real Estate Development Co., Ltd.",0,real estate
73,"Ecovacs Robot Technology Co., Ltd. Suzhou Center First Branch",0,optional
74,"Li Yingjuan, Du Guodong, Du Wenxiong, Chen Huijuan",0,materials
75,"Jiangsu Xinhai Gaodiao New Materials Co., Ltd.",0,materials
76,"Jiashan Shuneng New Energy Technology Co., Ltd.",0,public
77,"Tianshan Aluminum Group Co., Ltd.",0,materials
78,"Shanghai Runmi Technology Co., Ltd.",0,optional
79,"Linfen Chengran Natural Gas Co., Ltd.",0,public
80,"Changjiang Precision and Steel Structure (Group) Co., Ltd.",0,industry
81,"Changshu Tongrun Switch Factory Co., Ltd.",0,industry
82,"Anqing Xincheng Yuesheng Real Estate Management Management Co., Ltd.",0,real estate
83,"Zhejiang Hongliyang Ecological Construction Co., Ltd.",0,industry
84,"Zhuhai LEN Chemical Co., Ltd.",0,materials
85,"Zhejiang Zhenong Jintai Biotechnology Co., Ltd.",0,materials
86,"Fujian Zhongneng Electric Power Fuel Co., Ltd.",0,industry
87,"Shanghai Instrument & Electric (Group) Co., Ltd.",0,optional
88,"Dongyang Guangsha Import and Export Co., Ltd.",1,public
89,"Quanzhou Luyan Pharmaceutical Co., Ltd.",0,medical_insurance
90,"Wuxi Tianqi Precision Technology Co., Ltd.",0,industry
91,Meida Electrical Appliances(Chongqing)Ltd.,0,it
92,"Sinosteel Tianyuan Co., Ltd.",0,industry
93,"Daxin Huabang Ecological Technology Co., Ltd.",0,materials
94,"Hou Shiyi, Hou Xue, Wang Xin",0,it
95,"Jiangxi Hezong Lithium Technology Co., Ltd.",1,materials
96,"Inovance Technology (Dongguan) Co., Ltd.",0,industry
97,"Jiangsu Huiduoli Agricultural Materials Chain Co., Ltd.",0,materials
98,Li Fengmin,0,daily consumption
99,COSCOSHIPPINGPorts(Antwerp)NV,0,industry
100,"Shenzhen Hao Shanghao Information Technology Co., Ltd.",0,it
101,"Chen Xin, Hu Rongli, Shanjiang Forest",0,it
102,"Xiamen Xinda Mining Resources Co., Ltd.",0,industry
103,AsiaInfo Technology(Chengdu)Ltd.,0,it
104,"Suining Shengxin Lithium Industry Co., Ltd.",0,materials
105,"Nanchang Hongmao Supply Chain Management Co., Ltd.",0,industry
106,"Shanghai Hanyang Dairy Raw Materials Co., Ltd.",0,daily consumption
107,"Anhui Guanyu Culture Media Co., Ltd.",0,it
108,Changyu Optoelectronics(Hongkong)Ltd.,0,it
109,SWANN COMMUNICATIONS USA INC.,0,it
110,"Shandong Chuangxin Carbon Materials Co., Ltd.",0,materials
111,"Nanjing Fuyi Real Estate Co., Ltd.",0,optional
112,Novogene (Netherlands) International Holdings Ltd.,0,medical_insurance
113,"Dongyuan Real Estate Development Group Co., Ltd.",0,real estate
114,"Sanmenxia Inspection and Quarantine Pilot Zone Investment and Construction Co., Ltd.",0,materials
115,"Zhejiang Zhongkong Software Technology Co., Ltd.",0,it
116,"Gutian Fuxing Pharmaceutical Co., Ltd.",0,medical_insurance
117,"Rudong Tianying Environmental Protection Energy Co., Ltd.",0,industry
118,"Zhejiang Jiaxin Financial Leasing Co., Ltd.",0,optional
119,"Shanghai Liyangchuang Chip Testing Co., Ltd.",0,it
120,"Guangzhou Qingtian Desheng Intelligent Equipment Co., Ltd.",1,industry
121,"Beijing Beipai New Energy Technology Co., Ltd.",0,public
122,"Jiangsu Aoyang Health Industry Co., Ltd.",0,medical_insurance
123,"Jinzhai Xinhuangming Energy Technology Co., Ltd.",0,public
124,"Wuxi Pioneer Intelligent Equipment Co., Ltd.",0,industry
125,"Jilin Goldgang Electric Co., Ltd.",0,industry
126,"Qingdao Zhonghe Shengjie Food Co., Ltd.",0,daily consumption
127,"Guangdong Aowei Information Technology Co., Ltd.",0,it
128,"China Energy Wan Run Co., Ltd.",0,materials
129,"Chengdu Yunda Technology Co., Ltd.",0,it
130,"Urumqi Sun Hongqi Real Estate Development Co., Ltd.",0,real estate
131,"Chao Hongji Jewelry Co., Ltd.",0,optional
132,"Chengdu Bailiduote Biopharmaceutical Co., Ltd.",0,medical_insurance
133,"China Chemical Engineering 11th Construction Co., Ltd.",0,industry
134,"Suzhou Qingyue Optoelectronics Technology Co., Ltd.",0,it
135,"Xiamen Xindaan Trading Co., Ltd.",0,industry
136,"Shanghai Ciming Clinic Co., Ltd.",0,medical_insurance
137,"Huizhou Dayawan Kexiang Technology Circuit Board Co., Ltd.",0,it
138,"Jiangsu Nuotai Osano Biopharmaceutical Co., Ltd.",0,medical_insurance
139,"Liuzhou Weiyan Tianlong Technology Co., Ltd.",0,optional
140,"Chongqing Carrefour Commercial Co., Ltd.",0,optional
141,"Jinglan Muhe (Donga County) Water-Saving Irrigation Technology Co., Ltd.",0,industry
142,"Chongqing Caixin Environmental Protection Investment Co., Ltd.",0,industry
143,"Guangdong Mingcheng Environmental Technology Co., Ltd.",1,public
144,"Fujian Guohang Yuanyang Transportation (Group) Co., Ltd., Wang Yanping, Zhang Yi",0,industry
145,"Jiangsu Shengze Gas Turbine Thermal Power Co., Ltd.",0,materials
146,"Sichuan Yuhai Ronghui Trading Co., Ltd.",0,materials
147,"Sinopharm Holdings (Jiangmen) Co., Ltd.",0,medical_insurance
148,"Shandong General Aviation Services Co., Ltd.",0,industry
149,"Hangzhou Ausino Biopharmaceutical Co., Ltd.",0,medical_insurance
150,"A.D. Pipeline (Shanghai) Co., Ltd.",0,industry
151,"Sichuan Zhiyuan Lithium Industry Co., Ltd.",0,materials
152,"Del Future Technology Holding Group Co., Ltd.",0,materials
153,"Nantong Juyuan Investment Management Co., Ltd., Jiang Mingquan, Pan Rong couple",0,industry
154,"Chengdu Zhongfu Preform Co., Ltd. Guanghan Branch",0,materials
155,"Chengdu Zongheng Dapeng UAV Technology Co., Ltd., Chengdu Dapeng Zongheng Intelligent Equipment Co., Ltd.",0,industry
156,"Longda Aluminum (Shunping) Co., Ltd.",0,optional
157,"Guizhou Southwest Cement Co., Ltd.",0,materials
158,"Penglai Minhe Food Co., Ltd.",0,daily consumption
159,"Veken Holding Group Co., Ltd.",1,industry
160,"Victoria Technology Co., Ltd.",1,industry
161,Wu,0,industry
162,"Xintai Zhonglian Taifeng Cement Co., Ltd.",0,materials
163,"Chongqing Pharmaceutical Group Bishan Heping Pharmaceutical Co., Ltd.",0,medical_insurance
164,"Maanshan Aotejia Mechanical and Electrical Co., Ltd.",0,optional
165,"Yancheng Xincheng Henghong Real Estate Development Co., Ltd.",0,real estate
166,"China Merchants Ecological Environmental Protection Technology Co., Ltd.",0,industry
167,"Chengdu Aiket Technology Development Co., Ltd.",0,industry
168,"Hefei Derun Electronic Devices Co., Ltd.",0,it
169,"Jiaxing Ruihuatai Thin Film Technology Co., Ltd.",0,materials
170,"Nanping Luyan Pharmaceutical Co., Ltd.",0,medical_insurance
171,"Zhenjiang Dongfangshanyuan Electric Heating Co., Ltd.",0,optional
172,"Anhui Junlian Environmental Industry Investment Co., Ltd.",0,industry
173,"Chongqing Dima Industrial Co., Ltd.",0,real estate
174,"Zhuhai Peno Technology Co., Ltd.",0,industry
175,"Nanchong Jifeng Agricultural Equipment Co., Ltd.",0,optional
176,"Asan China Power Construction Infrastructure Construction Co., Ltd.",0,industry
177,"Wenzhou Hefeng Business Information Consulting Co., Ltd.",0,real estate
178,"Taifu Special Steel International Trading Co., Ltd.",0,materials
179,"Chint New Energy Technology Co., Ltd.",0,industry
180,"Shen Anju, Li Xiangping, Jiang Wei",0,optional
181,"Jiangsu Oriental Regis Energy Equipment Co., Ltd.",0,optional
182,"Huaibei Wangneng Environmental Protection Energy Co., Ltd.",0,industry
183,"Li Jiangbiao, Kong Xiaodan, Deng Daqin, Zhao Yansong, Li Haihang",0,materials
184,"Henan Central Plains Gold Switching Factory Co., Ltd.",0,materials
185,"Jiangsu Hailing Heavy Industry Equipment Technology Nantong Binhai Park Co., Ltd.",0,industry
186,"Suzhou Bofat Electronic Technology Co., Ltd.",0,it
187,"Yunnan City Investment Real Estate Co., Ltd.",0,real estate
188,"CECEP Alxa League Solar Power Co., Ltd.",0,public
189,"Jiangsu Zhonglian Zhuben Concrete Co., Ltd.",0,materials
190,"Guangdong Shunbo Aluminum Alloy Co., Ltd.",1,materials
191,"China Railway Engineering Equipment Group Co., Ltd.",0,industry
192,Zhou Dongju,0,materials
193,Wei Zengxiang,0,optional
194,"Pingding Shandong Fangfang Carbon Co., Ltd., Yang Suiyun, Liu Shuqin",0,materials
